Titre : Paiements;;;;;;;;;;;;;;;;
Compte client : 78569-MELJAC-Standard-Domestique-EUR;;;;;;;;;;;;;;;;
Export réalisé le : 21/03/2024;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Raison sociale;SIREN;NIC;Code acheteur;Ma référence;Mode de paiement;Date de saisie;Montant (EUR);Montant affecté (EUR);Solde;Statut;Numéro de paiement;Date d'échéance;Motif de non affectation;Nom du donneur d'ordre;Numéro du document;Type de document
MISE EN SCENE;434895066;34;4665331;7955;Virement;05/02/2024;1 539,70;1 539,70;0;Paiement affecté;69945329;-;;MISE EN SCENE                      ;202307690;Facture
PROLUM NORD PAS DE CALAIS;448384347;51;4672951;8633;Virement;05/02/2024;249,28;249,28;0;Paiement affecté;69945332;-;;PROLUM NORD PAS DE CALAIS          ;202307770;Facture
ETS JEAN GRANIOU;958803553;97;5767532;739;Virement;05/02/2024;26 789,33;26 789,33;0;Paiement affecté;69945328;-;;ETABLISSEMENTS  JEAN  GRANIOU      ;plusieurs documents associées;SOLDE
MAWA MONACO;997003850;98000;7563852;17651;Virement;05/02/2024;377,28;314,35;62,93;Paiement non affecté;69945331;-;Attente déduction / prochain règlement F202307869 F202307869;MAWA MONACO                        ;;SOLDE
SR ELECTROTECHNIQUE;488375072;37;4672931;2983;Virement;05/02/2024;50,6;50,6;0;Paiement affecté;69945334;-;;SOCIETE SR                         ;202307769;Facture
DELUX;500478813;16;4777577;479;Virement;02/02/2024;2 595,78;2 595,78;0;Paiement affecté;69935036;-;;DELUX                              ;plusieurs documents associées;SOLDE
SERRA LUMINAIRE CONTEMPORAIN;420106346;18;4640827;1386;Virement;02/02/2024;1 987,04;1 987,04;0;Paiement affecté;69935037;-;;SARL SERRA                         ;plusieurs documents associées;SOLDE
STUDIO ON;812801199;17;5097886;10437;Virement;02/02/2024;268,54;268,54;0;Paiement affecté;69935038;-;;SARL STUDIO ON                     ;202400350;Facture
STUDIO ON;812801199;17;5097886;10437;Virement;02/02/2024;239,74;239,74;0;Paiement affecté;69935039;-;;SARL STUDIO ON                     ;202400308;Facture
TAT ELECTRICITE;397607011;38;4672916;1443;Virement;02/02/2024;115,24;115,24;0;Paiement affecté;69935040;-;;SARL TAT ELECTRICITE               ;202307778;Facture
OMNILUM;534132444;17;5567723;5464;Virement;02/02/2024;57,65;57,65;0;Paiement affecté;69935043;-;;SARL OMNILUM                       ;202307636;Facture
STUDIO ON;812801199;17;5097886;10437;Virement;02/02/2024;29,23;29,23;0;Paiement affecté;69935044;-;;SARL STUDIO ON                     ;202400348;Facture
SNEF;56800659;1260;6946664;15489;Virement;02/02/2024;4 382,37;4 382,37;0;Paiement affecté;69935035;-;;SNEF                               ;plusieurs documents associées;SOLDE
OBJECTIF LUMIERE;821619921;17;5232333;10396;Virement;02/02/2024;74,93;74,93;0;Paiement affecté;69935042;-;;SARL OBJECTIF LU                   ;202307269;Facture
OBJECTIF LUMIERE;821619921;17;5232333;10396;Virement;02/02/2024;17,34;17,34;0;Paiement affecté;69935046;-;;SARL OBJECTIF LU                   ;202307391;Facture
VOLTEX S N;391567823;11;4718351;1552;Virement;01/02/2024;95,05;95,05;0;Paiement affecté;69919746;-;;VOLTEX                             ;202307791;Facture
PARIS DESIGN DISTRICT;811849470;26;5128713;9813;Virement;01/02/2024;1 054,12;1 054,12;0;Paiement affecté;69919738;-;;PARIS DESIGN DISTRICT              ;202307498;Facture
PARIS DESIGN DISTRICT;811849470;26;5128713;9813;Virement;01/02/2024;13,84;13,84;0;Paiement affecté;69919748;-;;PARIS DESIGN DISTRICT              ;202307620;Facture
PARIS DESIGN DISTRICT;811849470;26;5128713;9813;Virement;01/02/2024;135,79;135,79;0;Paiement affecté;69919743;-;;PARIS DESIGN DISTRICT              ;202307823;Facture
PARIS DESIGN DISTRICT;811849470;26;5128713;9813;Virement;01/02/2024;1 296,95;1 296,95;0;Paiement affecté;69919735;-;;PARIS DESIGN DISTRICT              ;202307776;Facture
PARIS DESIGN DISTRICT;811849470;26;5128713;9813;Virement;01/02/2024;4 441,18;4 441,18;0;Paiement affecté;69919732;-;;PARIS DESIGN DISTRICT              ;202307921;Facture
BALANCE MELJAC;999018989;78569;7777777;;Virement;01/02/2024;223,47;223,47;0;Paiement affecté;69919742;-;;MELJAC                             ;plusieurs documents associées;SOLDE
ELECTRICITE PLAFONDS LUMIERE;380428011;49;4718343;556;Virement;31/01/2024;469,45;469,45;0;Paiement affecté;69908121;-;;ELECTRICITE PLAFONDS LUMIERE       ;plusieurs documents associées;SOLDE
IMBERT ELECTRICITE;487791980;13;6439988;811;Virement;31/01/2024;986,94;986,94;0;Paiement affecté;69908119;-;;SARL IMBERT ELECTRICITE            ;plusieurs documents associées;SOLDE
CDE;422767921;22;6733441;1944;Virement;31/01/2024;385,01;385,01;0;Paiement affecté;69908122;-;;CDE                                ;202307644;Facture
SIGEBENE;328539226;30;7641184;5805;Virement;31/01/2024;37,21;37,21;0;Paiement affecté;69908123;-;;SIGEBENE                           ;202307484;Facture
LUMIDIS;382537504;13;4640861;502;Virement;30/01/2024;15 039,14;15 039,14;0;Paiement affecté;69898007;-;;LUMIDIS                            ;plusieurs documents associées;SOLDE
ELECTROPOSE;410353023;14;4668108;598;Virement;30/01/2024;38,69;38,69;0;Paiement affecté;69898012;-;;ELECTROPOSE                        ;202307968;Facture
FOUASSIN;956200778;28;4846774;3734;Virement;30/01/2024;109,72;109,72;0;Paiement affecté;69898011;-;;FOUASSIN                           ;plusieurs documents associées;SOLDE
PHIBOR;412790198;37;5639809;1167;Virement;30/01/2024;491,58;491,58;0;Paiement affecté;69898010;-;;PHIBOR ENTREPRISES                 ;202307445;Facture
BALANCE MELJAC;999018989;78569;7777777;;Virement;30/01/2024;1 362,48;1 362,48;0;Paiement affecté;69898009;-;;FORUM PATRIMOINE                   ;69898009;Rétrocession d'un crédit
PHIBOR;412790198;37;5639809;1167;Virement;29/01/2024;425,69;425,69;0;Paiement affecté;69887748;-;;PHIBOR ENTREPRISES                 ;202307332;Facture
ELEX;533998332;50;7464579;18044;Virement;29/01/2024;1 055,18;1 055,18;0;Paiement affecté;69887747;-;;ELEX                               ;202308047;Facture
CEF YESSS ELECTRIQUE;319883344;115;900468;;Chèque;26/01/2024;126,91;126,91;0;Paiement affecté;69879245;-;;                                   ;plusieurs documents associées;SOLDE
BALAS;562077792;82;7143469;7616;Virement;26/01/2024;2 217,99;2 217,99;0;Paiement affecté;69879246;-;;BALAS                              ;plusieurs documents associées;SOLDE
CEF YESSS ELECTRIQUE;319883344;115;900468;;Chèque;24/01/2024;445,3;445,3;0;Paiement affecté;69864933;-;;                                   ;plusieurs documents associées;SOLDE
ESPACE LUMIERE;309931830;33;4641961;610;Virement;24/01/2024;2 079,62;2 079,62;0;Paiement affecté;69864934;-;;ESPACE LUMIERE                     ;202307973;Facture
HENRI;702016452;22;5339496;778;Virement;24/01/2024;83,33;83,33;0;Paiement affecté;69864937;-;;ETS HENRI                          ;202307932;Facture
LUMAIX ECLAIRAGE;413995564;15;7211930;5685;Virement;24/01/2024;892,1;892,1;0;Paiement affecté;69864935;-;;SARL  LUMAIX ECLAIRAGE             ;202307661;Facture
HENRI;702016452;22;5339496;778;Virement;24/01/2024;580,78;580,78;0;Paiement affecté;69864936;-;;HENRI ALPES                        ;202400319;Facture
LCRB BAT;537545394;42;6445307;878;Virement;23/01/2024;83,47;83,47;0;Paiement affecté;69856362;-;;SARL LC DECO                       ;202400115;Facture
BALANCE MELJAC;999018989;78569;7777777;;Virement;23/01/2024;166,61;166,61;0;Paiement affecté;69856360;-;;MELJAC                             ;plusieurs documents associées;SOLDE
CEF YESSS ELECTRIQUE;319883344;115;900468;;Chèque;22/01/2024;1 009,86;1 009,86;0;Paiement affecté;69827423;-;;                                   ;plusieurs documents associées;SOLDE
FEUKA LUMINAIRES;457206555;23;4672956;6071;Virement;22/01/2024;193,22;193,22;0;Paiement affecté;69840996;-;;S A FEUKA                          ;202307381;Facture
AGB;333296580;74;6429428;13595;Chèque;22/01/2024;831,62;831,62;0;Paiement affecté;69840993;-;;                                   ;202307261;Facture
DURET ELECTRICITE;412337537;44;7365867;2535;Virement;22/01/2024;985,87;985,87;0;Paiement affecté;69840994;-;;DURET ELECTRICITE                  ;202307051;Facture
VALENTE DESIGN;481328904;26;4640845;1518;Virement;19/01/2024;6 448,55;6 448,55;0;Paiement affecté;69836392;-;;VALENTE DESIGN                     ;69836392;Rétrocession d'un crédit
ESPACE LUMIERE;309931830;33;4641961;610;Virement;18/01/2024;806,01;806,01;0;Paiement affecté;69827426;-;;ESPACE LUMIERE                     ;plusieurs documents associées;SOLDE
AQUITAINE ECLAIRAGE;483014411;19;4672932;3296;Virement;18/01/2024;2 441,61;2 441,61;0;Paiement affecté;69827425;-;;SARL AQUITAINE                     ;plusieurs documents associées;SOLDE
HENRI;702016452;22;5339496;778;Virement;18/01/2024;238,98;238,98;0;Paiement affecté;69827427;-;;ETS HENRI                          ;plusieurs documents associées;SOLDE
JEUX DE LUMIERE;489582320;29;4646611;850;Virement;17/01/2024;709,64;709,64;0;Paiement affecté;69816637;-;;S.A.R.L. JEUX DE LUMIERE           ;plusieurs documents associées;SOLDE
REXEL FRANCE;309304616;860;4665279;1344;Virement;17/01/2024;2 381,84;2 381,84;0;Paiement affecté;69816636;-;;REXEL FRANCE                       ;plusieurs documents associées;SOLDE
RDM;433792876;24;4702808;1224;Chèque;17/01/2024;1 876,62;1 876,62;0;Paiement affecté;69818435;-;;                                   ;plusieurs documents associées;SOLDE
SEGPP;784461899;22;5052883;1316;Virement;17/01/2024;163,45;163,45;0;Paiement affecté;69816642;-;;SEGPP                              ;202307646;Facture
DAEM;999373996;98000;5074914;;Virement;17/01/2024;375,06;375,06;0;Paiement affecté;69816641;-;;DISTRIBUTION D APPAREILLAGE ELECTRI;plusieurs documents associées;SOLDE
MAWA;499761567;35;6946719;c15096;Virement;17/01/2024;1 359,72;1 359,72;0;Paiement affecté;69818436;-;;MAWA SAS                           ;plusieurs documents associées;SOLDE
BALANCE MELJAC;999018989;78569;7777777;;Virement;17/01/2024;685,03;685,03;0;Paiement affecté;69816639;-;;SONEPAR FRANCE DISTRIBUTION        ;plusieurs documents associées;SOLDE
VALENTE DESIGN;481328904;26;4640845;1518;Virement;15/01/2024;8 909,99;8 909,99;0;Paiement affecté;69790723;-;;VALENTE DESIGN                     ;plusieurs documents associées;SOLDE
VIBERT ECLAIRAGE;491158127;36;4640866;4085;Virement;15/01/2024;271,02;271,02;0;Paiement affecté;69790724;-;;SARL  VIBERT ECLAIRAGE             ;202307060;Facture
ROGER DUBOIS SAS;552078636;40;4702812;1274;Virement;12/01/2024;90,84;90,84;0;Paiement affecté;69781127;-;;ROGER DUBOIS SARL                  ;202306769;Facture
FONCIERE DU ROND POINT;398477646;51;5171877;659;Virement;12/01/2024;14 190,16;14 190,16;0;Paiement affecté;69781123;-;;FORUM PATRIMOINE                   ;202306536;Facture
TSEE FRANCE;799155858;19;6211145;1449;Virement;12/01/2024;7 800,79;7 800,79;0;Paiement affecté;69781124;-;;TSEE FRANCE                        ;202307451;Facture
MES INTERNATIONAL;997833991;98000;6748003;;Virement;12/01/2024;706,61;706,61;0;Paiement affecté;69781126;-;;M.E.S. INTERNATIONAL               ;202307356;Facture
ROGER DUBOIS SAS;552078636;40;4702812;1274;Virement;11/01/2024;1 577,29;0;1 577,29;Paiement non affecté;69771846;-;Facture à remettre 202307174 ROGER DUBOIS SARL   202307174 E2EID 17316898;ROGER DUBOIS SARL                  ;;SOLDE
ROGER DUBOIS SAS;552078636;40;4702812;1274;Virement;11/01/2024;292,66;292,66;0;Paiement affecté;69771847;-;;ROGER DUBOIS SARL                  ;202307161;Facture
BITAROFF;498974146;17;4744956;227;Virement;11/01/2024;4 082,99;4 082,99;0;Paiement affecté;69771842;-;;BITAROFF                           ;202307922;Facture
LCRB BAT;537545394;42;6445307;878;Virement;11/01/2024;3 558,14;3 558,14;0;Paiement affecté;69771844;-;;SARL LC DECO                       ;202307995;Facture
LCRB BAT;537545394;42;6445307;878;Virement;11/01/2024;162,54;162,54;0;Paiement affecté;69771849;-;;SARL LC DECO                       ;202307998;Facture
SODELECT;380461855;47;4672914;1415;Virement;10/01/2024;983,24;983,24;0;Paiement affecté;69763318;-;;SODELECT SARL                      ;plusieurs documents associées;SOLDE
HENRI;702016452;22;5339496;778;Virement;10/01/2024;258,66;258,66;0;Paiement affecté;69763319;-;;HENRI ALPES                        ;202307401;Facture
EURELEC DISTRIBUTION;412970659;89;5353204;2363;Virement;10/01/2024;57,58;57,58;0;Paiement affecté;69763322;-;;EURELEC                            ;202307097;Facture
POUGET;801933276;17;6551580;C8778;Virement;10/01/2024;149,14;149,14;0;Paiement affecté;69763320;-;;EURL  POUGET                       ;202307556;Facture
BALANCE MELJAC;999018989;78569;7777777;;Virement;10/01/2024;14 328,31;14 328,31;0;Paiement affecté;69763317;-;;MELJAC                             ;plusieurs documents associées;SOLDE
H T E HAUTE TECHNOLOGIE ELECTRIQUE;449654441;12;4640875;8606;Virement;09/01/2024;5,48;5,48;0;Paiement affecté;69754554;-;;H T E   HAUTE TECHNOLOGIE ELECTRIQU;202307104;Facture
MAWA;499761567;35;6946719;c15096;Virement;09/01/2024;1 269,14;1 269,14;0;Paiement affecté;69754552;-;;MAWA SAS                           ;202307321;Facture
LUMITHEQUE;528075625;46;7373761;5299;Virement;09/01/2024;2 334,65;2 334,65;0;Paiement affecté;69754551;-;;LUMITHEQUE                         ;202307596;Facture
MISE EN SCENE;434895066;34;4665331;7955;Virement;08/01/2024;12 887,50;12 887,50;0;Paiement affecté;69744944;-;;MISE EN SCENE                      ;plusieurs documents associées;SOLDE
PROLUM CHAMPAGNE ARDENNES;501624613;29;4718356;8673;Virement;08/01/2024;529,48;529,48;0;Paiement affecté;69744947;-;;PROLUM CHAMPAGNE ARDENNES          ;plusieurs documents associées;SOLDE
PROLUM CDC;811966167;17;4796676;8918;Virement;08/01/2024;877,98;877,98;0;Paiement affecté;69744946;-;;PROLUM ILE DE FRANCE               ;plusieurs documents associées;SOLDE
SR ELECTROTECHNIQUE;488375072;37;4672931;2983;Virement;05/01/2024;2 453,06;2 453,06;0;Paiement affecté;69731178;-;;SOCIETE SR                         ;plusieurs documents associées;SOLDE
ENT D'ELECTRICITE BRENGUIER;423072172;38;4844999;264;Virement;05/01/2024;51,86;51,86;0;Paiement affecté;69701237;-;;SARL ENT D ELECTRICITE BRENGUIER   ;202308072;Facture
PURE INSPIRATION;412451965;13;5001567;10253;Virement;05/01/2024;644,17;644,17;0;Paiement affecté;69731181;-;;PURE INSPIRATION                   ;202307260;Facture
STUDIO ON;812801199;17;5097886;10437;Virement;05/01/2024;2 112,53;2 112,53;0;Paiement affecté;69731180;-;;SARL STUDIO ON                     ;69731180;Rétrocession d'un crédit
LUX HOME LIGHTING;833459381;12;6599801;14161;Virement;05/01/2024;100,36;100,36;0;Paiement affecté;69731182;-;;LUX HOME LIGHTING                  ;202307106;Facture
VOLTEX S N;391567823;11;4718351;1552;Virement;04/01/2024;317,68;317,68;0;Paiement affecté;69727253;-;;VOLTEX                             ;plusieurs documents associées;SOLDE
PROLUM CHAMPAGNE ARDENNES;501624613;29;4718356;8673;Virement;04/01/2024;37,85;37,85;0;Paiement affecté;69727255;-;;PROLUM CHAMPAGNE ARDENNES          ;202306697;Facture
DELUX;500478813;16;4777577;479;Virement;04/01/2024;43,34;43,34;0;Paiement affecté;69727254;-;;DELUX                              ;202307473;Facture
CABANES BARTHEROTTE & FRERES;450008578;20;5916892;3278;Virement;04/01/2024;1 757,86;1 757,86;0;Paiement affecté;69727251;-;;CABANES BARTHEROTTE   FRERES       ;plusieurs documents associées;SOLDE
ELECTRICITE PLAFONDS LUMIERE;380428011;49;4718343;556;Virement;03/01/2024;1 638,38;1 638,38;0;Paiement affecté;69716701;-;;ELECTRICITE PLAFONDS LUMIERE       ;plusieurs documents associées;SOLDE
PARIS DESIGN DISTRICT;811849470;26;5128713;9813;Virement;03/01/2024;8 442,10;8 442,10;0;Paiement affecté;69716700;-;;PARIS DESIGN DISTRICT              ;202306902;Facture
PARIS DESIGN DISTRICT;811849470;26;5128713;9813;Virement;03/01/2024;248,58;248,58;0;Paiement affecté;69716703;-;;PARIS DESIGN DISTRICT              ;202307286;Facture
PARIS DESIGN DISTRICT;811849470;26;5128713;9813;Virement;03/01/2024;73,09;73,09;0;Paiement affecté;69716704;-;;PARIS DESIGN DISTRICT              ;202307410;Facture
PARIS DESIGN DISTRICT;811849470;26;5128713;9813;Virement;03/01/2024;331,31;331,31;0;Paiement affecté;69716702;-;;PARIS DESIGN DISTRICT              ;202307339;Facture
SERRA LUMINAIRE CONTEMPORAIN;420106346;18;4640827;1386;Virement;02/01/2024;593,28;593,28;0;Paiement affecté;69701234;-;;SARL SERRA                         ;plusieurs documents associées;SOLDE
VIBERT ECLAIRAGE;491158127;36;4640866;4085;Virement;02/01/2024;9 838,42;9 838,42;0;Paiement affecté;69701226;-;;SARL  VIBERT ECLAIRAGE             ;202306720;Facture
ESPACE LUMIERE;309931830;33;4641961;610;Virement;02/01/2024;4 575,91;4 575,91;0;Paiement affecté;69701229;-;;ESPACE LUMIERE                     ;plusieurs documents associées;SOLDE
EIFFAGE ENERGIE SYSTEMES-IDF;420540643;269;4665329;662;Virement;02/01/2024;2 272,24;2 272,24;0;Paiement affecté;69701231;-;;EIFFAGE ENERGIE SYSTEMES           ;202306474;Facture
JP LEBRUN;378155824;55;4672955;913;Virement;02/01/2024;673,93;673,93;0;Paiement affecté;69701233;-;;ETS LEBRUN ELECTRICITE             ;plusieurs documents associées;SOLDE
IMBERT ELECTRICITE;487791980;13;6439988;811;Virement;02/01/2024;340,06;340,06;0;Paiement affecté;69701235;-;;SARL IMBERT ELECTRICITE            ;plusieurs documents associées;SOLDE
BALANCE MELJAC;999018989;78569;7777777;;Virement;02/01/2024;7 292,48;7 292,48;0;Paiement affecté;69701228;-;;MELJAC                             ;plusieurs documents associées;SOLDE
VALENTE DESIGN;481328904;26;4640845;1518;Virement;29/12/2023;14 610,00;14 610,00;0;Paiement affecté;69688481;-;;VALENTE DESIGN                     ;69688481;Rétrocession d'un crédit
TAT ELECTRICITE;397607011;38;4672916;1443;Virement;29/12/2023;127,39;127,39;0;Paiement affecté;69688482;-;;SARL TAT ELECTRICITE               ;202306878;Facture
ROGER DUBOIS SAS;552078636;40;4702812;1274;Virement;28/12/2023;116,1;116,1;0;Paiement affecté;69677131;-;;ROGER DUBOIS SARL                  ;202306876;Facture
DAEM;999373996;98000;5074914;;Virement;28/12/2023;6 599,06;6 599,06;0;Paiement affecté;69677125;-;;DISTRIBUTION D APPAREILLAGE ELECTRI;plusieurs documents associées;SOLDE
CABANES BARTHEROTTE & FRERES;450008578;20;5916892;3278;Virement;28/12/2023;313,2;313,2;0;Paiement affecté;69677130;-;;CABANES BARTHEROTTE   FRERES       ;202307342;Facture
VERNASSA ELECTRICITE;500194188;16;7096087;5792;Virement;28/12/2023;750,83;750,83;0;Paiement affecté;69677126;-;;SARL  VERNASSA ELECTRICITE         ;plusieurs documents associées;SOLDE
BALAS;562077792;82;7143469;7616;Virement;28/12/2023;11,03;11,03;0;Paiement affecté;69677132;-;;BALAS                              ;202306891;Facture
CEF YESSS ELECTRIQUE;319883344;115;900468;;Chèque;27/12/2023;116,36;116,36;0;Paiement affecté;69660744;-;;                                   ;202306613;Facture
